IL1B gene|IL1B	ASSOCIATED_WITH	Polycystic Ovary Syndrome	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Disorder of tendon	1
IL1B gene|IL1B	PREDISPOSES	Chronic Obstructive Airway Disease	1
Interleukin-1 beta|IL1B	AUGMENTS	Cerebral Ischemia	1
IL1B gene|IL1B	CAUSES	Osteoarthritis, Hip	1
IL1B	AUGMENTS	Bacterial Infections	1
IL1B gene|IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Febrile Convulsions	1
Interleukin-1 beta|IL1B	AFFECTS	Disease	2
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Asthma	2
Interleukin-1 beta|IL1B	PREDISPOSES	Gastritis, Atrophic	1
IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Insulin-Dependent	1
Interleukin-1 beta|IL1B	PREDISPOSES	Peptic Esophagitis	1
Interleukin-1 beta|IL1B	AFFECTS	Diabetes	1
IL1B gene|IL1B	AFFECTS	Inflammatory disorder	1
IL1B gene|IL1B	AUGMENTS	Respiration Disorders	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Diabetic Nephropathy	1
IL1B	AFFECTS	Pulmonary Cystic Fibrosis	1
Interleukin-1 beta|IL1B	CAUSES	Degenerative polyarthritis	1
IL1B gene|IL1B	AFFECTS	Disease	1
